plugin_id,plugin_type,plugin_name,plugin_status,actionability_state,recommendation_count,actionable_via_discovery,reason_code,reason_code_detail,recommended_next_step,next_step_lane_id,expected_post_state,finding_count,finding_kind_preview,plugin_summary
analysis_action_search_mip_batched_scheduler_v1,analysis,Action Search (MIP Batched Scheduler),ok,actionable,4,True,,,,already_actionable,actionable,1,actionable_ops_lever,Optimized action combo (MIP) with 8 actions
analysis_action_search_simulated_annealing_v1,analysis,Action Search (Simulated Annealing),ok,actionable,4,True,,,,already_actionable,actionable,1,actionable_ops_lever,Optimized action combo (annealing) with 8 actions
analysis_actionable_ops_levers_v1,analysis,Actionable Ops Levers (v1),ok,actionable,6,True,,,,already_actionable,actionable,20,actionable_ops_lever,Generated 20 actionable lever recommendation(s)
analysis_aft_survival_lognormal_v1,analysis,analysis_aft_survival_lognormal_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Computed AFT lognormal proxy model.
analysis_anova_auto,analysis,Anova Auto,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,"ANOVA: no eligible (process,group) slices under k-min/budget"
analysis_association_rules_apriori_v1,analysis,Association Rules (Apriori),ok,actionable,1,True,,,,already_actionable,actionable,10,actionable_ops_lever,"Computed fallback pair-based association rules (200 rules) because matrix too large for exact apriori (entities=120000, items=120); using deterministic pair-rule fallback"
analysis_attribution,analysis,Attribution Analysis,ok,actionable,5,True,,,,already_actionable,actionable,9,attribution,Attributed eligible wait by dimension
analysis_bart_uplift_surrogate_v1,analysis,analysis_bart_uplift_surrogate_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,actionable_ops_lever,BART uplift surrogate identified an optimization candidate
analysis_bayesian_online_changepoint_studentt_v1,analysis,analysis_bayesian_online_changepoint_studentt_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,Computed robust online changepoint score.
analysis_bayesian_point_displacement,analysis,Bayesian Point Displacement,ok,actionable,1,True,,,,already_actionable,actionable,4,bayesian_point_displacement,Bayesian displacement columns=6 strong=4
analysis_benfords_law_anomaly_v1,analysis,analysis_benfords_law_anomaly_v1,ok,actionable,1,True,,,,already_actionable,actionable,5,plugin_observation,Computed Benford diagnostics.
analysis_beta_binomial_overdispersion_v1,analysis,analysis_beta_binomial_overdispersion_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Computed beta-binomial overdispersion diagnostics.
analysis_biclustering_cheng_church_v1,analysis,Biclustering (Process×Param Coherence),ok,actionable,1,True,,,,already_actionable,actionable,3,actionable_ops_lever,Computed 3 bicluster(s)
analysis_bocpd_gaussian,analysis,BOCPD Gaussian,ok,actionable,1,True,,,,already_actionable,actionable,7,changepoint,Computed BOCPD changepoints
analysis_bootstrap_ci_effect_sizes_v1,analysis,analysis_bootstrap_ci_effect_sizes_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,No actionable result: time_budget_exceeded_partial
analysis_bsts_intervention_counterfactual_v1,analysis,analysis_bsts_intervention_counterfactual_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Computed intervention counterfactual effect.
analysis_burst_detection_kleinberg,analysis,Burst Detection Kleinberg,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Burst detection complete
analysis_burst_modeling_hawkes_v1,analysis,Burst Modeling (Hawkes-Style),ok,actionable,1,True,,,,already_actionable,actionable,10,actionable_ops_lever,Computed burst proxy scores for 20 processes
analysis_busy_period_segmentation_v2,analysis,Busy Period Segmentation v2,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_not_applicable,analysis_busy_period_segmentation_v2 observation [MISSING_PREREQUISITE]: Missing eligible/queue or start timestamp columns
analysis_capacity_frontier_envelope_v1,analysis,analysis_capacity_frontier_envelope_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Computed capacity frontier envelope.
analysis_capacity_scaling,analysis,Capacity Scaling Scenario,ok,actionable,5,True,,,,already_actionable,actionable,8,capacity_scaling,Modeled capacity scaling impact
analysis_cca_crossblock_association_v1,analysis,analysis_cca_crossblock_association_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,Computed cross-block CCA diagnostics.
analysis_chain_makespan,analysis,Chain Makespan Analysis,ok,actionable,1,True,,,,already_actionable,actionable,10,chain_makespan,Computed chain makespan statistics
analysis_change_impact_pre_post,analysis,Change Impact Pre Post,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,Pre/post impact computed
analysis_change_score_consensus_v1,analysis,analysis_change_score_consensus_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,No actionable result: time_budget_exceeded
analysis_changepoint_energy_edivisive,analysis,Changepoint Energy Edivisive,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Energy changepoint detection complete
analysis_changepoint_method_survey_guided,analysis,Changepoint Method Survey Guided,ok,actionable,1,True,,,,already_actionable,actionable,22,plugin_observation,Changepoint ensemble complete
analysis_changepoint_pelt,analysis,Changepoint Pelt,ok,actionable,1,True,,,,already_actionable,actionable,20,plugin_observation,Changepoint detection complete
analysis_chi_square_association,analysis,Chi Square Association,ok,actionable,1,True,,,,already_actionable,actionable,32,chi_square_association,Chi-square: computed=36 significant=32 skipped_large_pairs=30 skipped_crosstab_alloc=0
analysis_circular_time_of_day_drift_v1,analysis,analysis_circular_time_of_day_drift_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,Computed circular time-of-day drift metrics.
analysis_close_cycle_capacity_impact,analysis,Close Cycle Capacity Impact,ok,actionable,1,True,,,,already_actionable,actionable,2,close_cycle_capacity_impact,Computed close-cycle capacity impact
analysis_close_cycle_capacity_model,analysis,Close Cycle Capacity Model,ok,actionable,3,True,,,,already_actionable,actionable,7,close_cycle_capacity_model;spillover_past_eom,Computed close-cycle capacity model
analysis_close_cycle_change_point_v1,analysis,Close Cycle Change Point (Heuristic),ok,actionable,3,True,,,,already_actionable,actionable,1,close_cycle_change_point,Computed close-cycle change detection
analysis_close_cycle_contention,analysis,Close Cycle Contention Analysis,ok,actionable,2,True,,,,already_actionable,actionable,25,close_cycle_contention,Detected close-cycle contention candidates
analysis_close_cycle_duration_shift,analysis,Close Cycle Duration Shift Analysis,ok,actionable,5,True,,,,already_actionable,actionable,5,close_cycle_duration_shift;spillover_past_eom,Detected duration-shift candidates
analysis_close_cycle_revenue_compression,analysis,Close Cycle Revenue Compression,ok,actionable,1,True,,,,already_actionable,actionable,1,close_cycle_revenue_compression,Computed revenue close-cycle compression model
analysis_close_cycle_start_backtrack_v1,analysis,Close Cycle Start Backtrack v1,ok,actionable,5,True,,,,already_actionable,actionable,365,close_cycle_start_backtracked,"Backtracked close starts for 365 accounting months (343 inferred, 22 fallback)."
analysis_close_cycle_uplift,analysis,Close Cycle Uplift Analysis,ok,actionable,1,True,,,,already_actionable,actionable,5,close_cycle_share_shift,Detected close-cycle share-shift candidates
analysis_close_cycle_window_resolver,analysis,Close Cycle Window Resolver,ok,actionable,5,True,,,,already_actionable,actionable,366,close_cycle_window_resolved;close_cycle_indicators,Resolved 365 close-cycle windows using Accounting Month roll signals and default calendar bounds.
analysis_cluster_analysis_auto,analysis,Cluster Auto,ok,actionable,1,True,,,,already_actionable,actionable,1,cluster_analysis_auto,Cluster analysis computed
analysis_competing_risks_cif_v1,analysis,analysis_competing_risks_cif_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Computed competing-risks cumulative incidence profile.
analysis_concurrency_reconstruction,analysis,Concurrency Reconstruction,ok,actionable,1,True,,,,already_actionable,actionable,2,concurrency_summary,Reconstructed concurrency timeline
analysis_conformal_feature_prediction,analysis,Conformal Feature Prediction,ok,actionable,1,True,,,,already_actionable,actionable,362,anomaly,Computed conformal anomalies
analysis_conformance_alignments,analysis,Conformance Alignments,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,Conformance alignment check complete
analysis_conformance_checking,analysis,Conformance Checking,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_not_applicable,analysis_conformance_checking observation [NO_DECISION_SIGNAL]: No transitions detected
