plugin_id,plugin_type,plugin_name,plugin_status,actionability_state,recommendation_count,actionable_via_discovery,reason_code,reason_code_detail,recommended_next_step,next_step_lane_id,expected_post_state,finding_count,finding_kind_preview,plugin_summary
analysis_action_search_mip_batched_scheduler_v1,analysis,Action Search (MIP Batched Scheduler),ok,actionable,2,True,,,,already_actionable,actionable,1,actionable_ops_lever,REUSED from dryrun_debug_20260221T1630Z
analysis_action_search_simulated_annealing_v1,analysis,Action Search (Simulated Annealing),ok,actionable,2,True,,,,already_actionable,actionable,1,actionable_ops_lever,REUSED from dryrun_debug_20260221T1630Z
analysis_actionable_ops_levers_v1,analysis,Actionable Ops Levers (v1),ok,actionable,11,True,,,,already_actionable,actionable,20,actionable_ops_lever,REUSED from dryrun_debug_20260221T1630Z
analysis_aft_survival_lognormal_v1,analysis,analysis_aft_survival_lognormal_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_anova_auto,analysis,Anova Auto,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,REUSED from dryrun_debug_20260221T1630Z
analysis_association_rules_apriori_v1,analysis,Association Rules (Apriori),ok,actionable,1,True,,,,already_actionable,actionable,10,actionable_ops_lever,REUSED from dryrun_debug_20260221T1630Z
analysis_attribution,analysis,Attribution Analysis,ok,actionable,5,True,,,,already_actionable,actionable,9,attribution,REUSED from dryrun_debug_20260221T1630Z
analysis_bayesian_online_changepoint_studentt_v1,analysis,analysis_bayesian_online_changepoint_studentt_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,REUSED from dryrun_debug_20260221T1630Z
analysis_bayesian_point_displacement,analysis,Bayesian Point Displacement,ok,actionable,1,True,,,,already_actionable,actionable,4,bayesian_point_displacement,REUSED from dryrun_debug_20260221T1630Z
analysis_benfords_law_anomaly_v1,analysis,analysis_benfords_law_anomaly_v1,ok,actionable,1,True,,,,already_actionable,actionable,5,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_beta_binomial_overdispersion_v1,analysis,analysis_beta_binomial_overdispersion_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_biclustering_cheng_church_v1,analysis,Biclustering (Process×Param Coherence),ok,actionable,1,True,,,,already_actionable,actionable,3,actionable_ops_lever,REUSED from dryrun_debug_20260221T1630Z
analysis_bocpd_gaussian,analysis,BOCPD Gaussian,ok,actionable,1,True,,,,already_actionable,actionable,7,changepoint,REUSED from dryrun_debug_20260221T1630Z
analysis_bootstrap_ci_effect_sizes_v1,analysis,analysis_bootstrap_ci_effect_sizes_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,REUSED from dryrun_debug_20260221T1630Z
analysis_bsts_intervention_counterfactual_v1,analysis,analysis_bsts_intervention_counterfactual_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_burst_detection_kleinberg,analysis,Burst Detection Kleinberg,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_burst_modeling_hawkes_v1,analysis,Burst Modeling (Hawkes-Style),ok,actionable,1,True,,,,already_actionable,actionable,10,actionable_ops_lever,REUSED from dryrun_debug_20260221T1630Z
analysis_busy_period_segmentation_v2,analysis,Busy Period Segmentation v2,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_not_applicable,REUSED from dryrun_debug_20260221T1630Z
analysis_capacity_frontier_envelope_v1,analysis,analysis_capacity_frontier_envelope_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_capacity_scaling,analysis,Capacity Scaling Scenario,ok,actionable,5,True,,,,already_actionable,actionable,8,capacity_scaling,REUSED from dryrun_debug_20260221T1630Z
analysis_cca_crossblock_association_v1,analysis,analysis_cca_crossblock_association_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,REUSED from dryrun_debug_20260221T1630Z
analysis_chain_makespan,analysis,Chain Makespan Analysis,ok,actionable,1,True,,,,already_actionable,actionable,10,chain_makespan,REUSED from dryrun_debug_20260221T1630Z
analysis_change_impact_pre_post,analysis,Change Impact Pre Post,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,REUSED from dryrun_debug_20260221T1630Z
analysis_change_score_consensus_v1,analysis,analysis_change_score_consensus_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,REUSED from dryrun_debug_20260221T1630Z
analysis_changepoint_energy_edivisive,analysis,Changepoint Energy Edivisive,ok,actionable,1,True,,,,already_actionable,actionable,1,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_changepoint_method_survey_guided,analysis,Changepoint Method Survey Guided,ok,actionable,1,True,,,,already_actionable,actionable,22,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_changepoint_pelt,analysis,Changepoint Pelt,ok,actionable,1,True,,,,already_actionable,actionable,20,plugin_observation,REUSED from dryrun_debug_20260221T1630Z
analysis_chi_square_association,analysis,Chi Square Association,ok,actionable,1,True,,,,already_actionable,actionable,32,chi_square_association,REUSED from dryrun_debug_20260221T1630Z
analysis_circular_time_of_day_drift_v1,analysis,analysis_circular_time_of_day_drift_v1,ok,actionable,1,True,,,,already_actionable,actionable,1,analysis_no_action_diagnostic,REUSED from dryrun_debug_20260221T1630Z
analysis_close_cycle_capacity_impact,analysis,Close Cycle Capacity Impact,ok,actionable,1,True,,,,already_actionable,actionable,2,close_cycle_capacity_impact,REUSED from dryrun_debug_20260221T1630Z
analysis_close_cycle_capacity_model,analysis,Close Cycle Capacity Model,ok,actionable,3,True,,,,already_actionable,actionable,7,close_cycle_capacity_model;spillover_past_eom,REUSED from dryrun_debug_20260221T1630Z
