plugin_id,plugin_type,plugin_name,plugin_status,actionability_state,recommendation_count,actionable_via_discovery,reason_code,reason_code_detail,recommended_next_step,next_step_lane_id,expected_post_state,finding_count,finding_kind_preview,plugin_summary
analysis_one_class_svm,analysis,One Class Svm,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_online_conformal_changepoint,analysis,Online Conformal Changepoint,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,2,changepoint,REUSED from baseline_freshman_20260219b
analysis_outlier_influence_cooks_distance_v1,analysis,analysis_outlier_influence_cooks_distance_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,10,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_param_near_duplicate_minhash_v1,analysis,Param Near-Duplicate Detection (MinHash/LSH),ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_param_near_duplicate_simhash_v1,analysis,Param Near-Duplicate Detection (SimHash),ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_param_variant_explosion_v1,analysis,Param Variant Explosion,ok,actionable,1,True,,,,already_actionable,actionable,10,param_variant_explosion,REUSED from baseline_freshman_20260219b
analysis_partial_correlation_network_shift_v1,analysis,analysis_partial_correlation_network_shift_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_pc_algorithm_causal_graph_v1,analysis,PC Algorithm Causal Skeleton,ok,actionable,1,True,,,,already_actionable,actionable,1,leftfield_signal,REUSED from baseline_freshman_20260219b
analysis_pca_auto,analysis,Pca Auto,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,1,pca_auto,REUSED from baseline_freshman_20260219b
analysis_pca_control_chart,analysis,Pca Control Chart,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_percentile_analysis,analysis,Percentile Analysis,ok,actionable,1,True,,,,already_actionable,actionable,10,percentile_stats,REUSED from baseline_freshman_20260219b
analysis_periodicity_spectral_scan,analysis,Periodicity Spectral Scan,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_permutation_entropy_drift_v1,analysis,analysis_permutation_entropy_drift_v1,ok,explained_non_actionable,0,False,NO_STATISTICAL_SIGNAL,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,analysis_no_action_diagnostic,REUSED from baseline_freshman_20260219b
analysis_phate_trajectory_embedding_v1,analysis,PHATE-like Trajectory Embedding,ok,actionable,1,True,,,,already_actionable,actionable,1,leftfield_signal,REUSED from baseline_freshman_20260219b
analysis_piecewise_linear_trend_changepoints_v1,analysis,analysis_piecewise_linear_trend_changepoints_v1,ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
